Date,Commit,Directories,Files,Lines of Code (LOC),Cyclomatic Complexity / Lines of Code,Comment Lines of Code (CLOC),Non-Comment Lines of Code (NCLOC),Logical Lines of Code (LLOC),LLOC outside functions or classes,Namespaces,Interfaces,Traits,Classes,Abstract Classes,Concrete Classes,Classes Length (LLOC),Methods,Non-Static Methods,Static Methods,Public Methods,Non-Public Methods,Cyclomatic Complexity / Number of Methods,Functions,Named Functions,Anonymous Functions,Functions Length (LLOC),Average Function Length (LLOC),Constants,Global Constants,Class Constants,Attribute Accesses,Non-Static Attribute Accesses,Static Attribute Accesses,Method Calls,Non-Static Method Calls,Static Method Calls,Global Accesses,Global Variable Accesses,Super-Global Variable Accesses,Global Constant Accesses,Test Classes,Test Methods
2013-12-06T00:23:54-05:00,"2985408ff9fb7612e10940ccadb642e419e9e4c7","3","6","259","0.029411764705882","137","122","34","12","4","1","0","5","0","5","22","13","13","0","13","0","1.1","0","0","0","0","0","1","0","1","3","3","0","5","5","0","0","0","0","0","0","0"
2015-02-28T08:09:53-05:00,"663833a13d4121ea545514466bbd8aae97ae4e43","7","16","1907","0.1","726","1181","380","44","8","2","2","10","0","10","143","68","68","0","57","11","1.8837209302326","2","0","2","193","96.5","9","0","9","54","54","0","304","304","0","0","0","0","0","2","29"
2015-02-28T08:45:55-05:00,"2992d2a92873e6ca72ce0d64e983c690516614c3","7","16","1907","0.1","726","1181","380","44","8","2","2","10","0","10","143","68","68","0","57","11","1.8837209302326","2","0","2","193","96.5","9","0","9","54","54","0","304","304","0","0","0","0","0","2","29"
2015-02-28T12:13:26-05:00,"24d810131675a2ddca94db2da9e086345edd48a5","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T12:15:45-05:00,"5ee3dc3694964d333bf9f8061395b6498122b151","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T12:23:09-05:00,"3f2aed4ca7da5b02161d885d8ed0c53bf62c5397","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T13:06:42-05:00,"0112c65d93aee6bbaec338b0f3a93b8c4c963d44","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T13:47:05-05:00,"6e27ea4d24c327cf1f9b72b6228d0343bc61daeb","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T15:35:10-05:00,"51315caff13d4dbda1cae9a68e08e5c5531450c2","5","12","1678","0.10335195530726","593","1085","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T17:29:39-05:00,"a752b01b74293bb26553686f7afdfaba89c7fc8b","5","12","1686","0.10335195530726","593","1093","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
2015-02-28T17:32:36-05:00,"91b0f384ac2bcc3505c8763d1feeb3b626036267","5","12","1686","0.10335195530726","593","1093","358","35","6","1","1","8","0","8","124","54","54","0","46","8","2.15625","2","0","2","199","99.5","8","0","8","54","54","0","319","319","0","0","0","0","0","2","29"
